Instrument,Sector,Industry,Name,Fwd_PE,Fwd_PEG,Fwd_PB,P_S,Fwd_EV_FCF,EBIT_Margin,Fwd_DPS,Fwd_ROE,CAGR,Fwd_FCF_Conversion,Fwd_Capex_Revenue,ND_EV,Fwd_EV_EBITDA,CET1,RSI,RSI_ORDER,PX_MA200,MA10_MA100,DMI
ELIS.PA,Industrials,Commercial  & Professional Services,Elis SA,13.3303256853141,1.17576218462141,1.56584366293859,1.25779138024882,25.2273048144054,13.424579662,0.51912,12.44833,0.07843858094856193,0.8193870288242809,1.992609023787167,44.8980564226,5.73576925504327,,58.22932601795147,,1.1648375125981727,1.0647447913300154,19.86428514542111
PKO.WA,Financials,Banks,Powszechna Kasa Oszczednosci Bank Polski SA,8.51546510385415,0.447776071521985,1.83686314837634,3.17431136440236,,52.233317483,5.73315,20.97273,0.21557526939898675,,,0.5816894284,7.78909266505457,,60.16629300201071,,1.2040241960055509,1.0738016482889785,20.112168376005247
CFR.S,Consumer Discretionary,Consumer Durables & Apparel,Compagnie Financiere Richemont SA,22.5548110192795,2.75897097576855,3.39696632196286,3.4753728705188,20.9960741240535,21.0477125099,3.34687,16.30119,0.031346826746111445,0.9291753345880137,0.3419257969678769,,11.9890688655637,,25.328635462358264,,0.8786497890295359,0.9294090191131059,36.74962951110536
TW.L,Consumer Discretionary,Consumer Durables & Apparel,Taylor Wimpey PLC,12.0346739813749,1.10426888400745,0.843238371633562,1.00393151063,20.4884966307331,12.2427378572,0.0908826,6.22714,-0.05198810874153181,0.5397905972290026,0.03199648689420168,,7.61509241765615,,30.52081691248354,,0.8530321434552465,0.9324376843853234,37.665589793074695
MDBI.MI,Financials,Banks,Mediobanca Banca di Credito Finanziario SpA,11.9554964599457,1.76079647655113,1.54689617194663,5.68878316463204,135.682506408144,49.5386590356,1.71361,12.86571,0.133746355188749,0.24356510549788893,,66.295554092,,15.1,72.06442488152179,,1.2303369964441973,1.03511972877305,27.525079186066037
RUBF.PA,Utilities,Utilities,Rubis SCA,9.34282049515637,5.18508449736573,0.993459492456614,0.443071993141418,23.1007783822365,7.5827758202,2.13194,10.875,-0.013224269194673233,0.6258155583437892,1.0704203262233376,37.2460325702,6.25181266283235,,62.499977853435674,,1.1095533382381053,1.0099701539540642,11.186244991430089
ESSITYb.ST,Consumer Staples,Household & Personal Products,Essity AB (publ),13.0669882828412,1.55948370994398,1.89890313969009,1.18734691148143,16.7095474944104,13.1614747228,8.8257,14.05142,0.022606618697284198,0.948323288879924,0.5960322850950986,12.0626511892,8.06572769869454,,36.36527124277087,,0.8627752130838906,0.9101355114163726,34.026751341045575
SDR.L,Financials,Financial Services,Schroders PLC,13.590700955615,1.48921962647189,1.38066022173736,2.09175100448269,7.99789158262751,17.6767676768,0.215,10.139,0.005036034432691183,2.128685737406496,0.10488230685559022,19.6362906265,9.66252150604901,,59.941775130197705,,1.1375497213317738,1.101291998305576,31.7154640484866
BAYGn.DE,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Bayer AG,5.68463225669509,,0.753437503663154,0.547020469273185,26.5514683571655,14.8457280179,0.13058,12.06214,-0.03372723879906203,0.4848494013122557,0.5653436082956963,63.0491683572,6.34422222553647,,42.19198870465797,,1.1191760863628004,1.1023374697651056,24.84317132216492
GXIG.DE,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Gerresheimer AG,11.7400836631576,1.62412304580766,0.979063079011395,0.707502230249496,,10.3700913059,0.94589,6.757,0.09882777884873306,-0.5107993126170886,2.7051524615389697,29.5991548822,7.61005410620138,,46.37142068040586,,0.7097376978409417,0.8577181607723745,13.696002702154587
ICAG.L,Industrials,Transportation,International Consolidated Airlines Group SA,6.38431794957701,0.404472668305039,2.51014094987127,0.602375510284236,11.2767442500951,13.4205607477,0.10837,45.98721,0.13208094860383635,0.6739847052065868,1.0404257960554677,29.8730942257,3.49507833185421,,64.29752068991661,,1.2554271238076617,1.178468205829949,19.830417415575194
DTEGn.DE,Communication Services,Telecommunication Services,Deutsche Telekom AG,15.103927727,1.2543199507199,2.25870801298531,1.26757877730965,15.8515789764429,23.1391823372,1.00857,14.32223,0.009980836213661304,1.9815799949653483,1.8563629189811386,43.8015629658,6.89088372658211,,44.43788945897883,,0.9644563481712866,0.9670299027471427,23.457209441079378
