Instrument,Sector,Industry,Name,Fwd_PE,Fwd_PEG,Fwd_PB,P_S,Fwd_EV_FCF,EBIT_Margin,Fwd_DPS,Fwd_ROE,CAGR,Fwd_FCF_Conversion,Fwd_Capex_Revenue,ND_EV,Fwd_EV_EBITDA,CET1,RSI,RSI_ORDER,PX_MA200,MA10_MA100,DMI
IMI.L,Industrials,Capital Goods,IMI PLC,0.5388762663229103,0.05979614575348918,-0.1120443716039904,-0.09155410036959755,0.35902431688329406,1.1322383614602625,-0.7668329793551453,0.12121143714848086,-0.2091146821522321,-0.10402184837777487,0.5185430332589543,0.33230869931096657,-0.28458984111757696,,1.1939101869709912,,0.5463989738274799,0.6443325606832345,0.24678257269836526
WRT1V.HE,Industrials,Capital Goods,Wartsila Oyj Abp,-0.09697267109631323,0.15566330639758624,-0.11490072625657184,0.15382697478180374,-0.431020170730416,-0.1694961745159778,-0.7183340431464021,-0.060474350322073454,0.23908164786732813,-0.7293680660286248,0.48275493807437647,,0.03753721077625999,,1.0707136175543295,,1.2441823878179101,2.2689488714964967,3.1703295781272818
BNZL.L,Industrials,Capital Goods,Bunzl plc,0.9084585994755037,-8.374680496442119,-0.02428746691109642,0.8871284718787981,0.6303009902602031,-0.8240934948276059,-0.6454656371465496,-0.09221503627338244,-0.8361245045864105,0.26081810419325974,0.8396329825057324,-0.21638365369945628,-0.7458326324282539,,-0.6102620534783103,,-1.948918586003461,-1.5335338313727107,-1.361075358054868
FER.MC,Industrials,Capital Goods,Ferrovial SE,-1.973946162319659,,-0.16300063610188703,-0.6107546887145614,-1.4722638273157533,-0.34086708047149716,-0.5953191497448003,-0.33786303238471166,0.42739851111984284,0.06764911792685904,-0.6332185155689386,-0.46293282157895704,,,0.12773863592636117,,-0.06550428299467309,-0.24025995488847232,-1.261964275202423
SCHP.S,Industrials,Capital Goods,Schindler Holding AG,-0.6111805780572392,-0.7983283201236495,-0.16134178973216337,-0.2624317221176614,0.1723698581631384,-0.11915218230725032,0.9948406953720025,-0.07989201234174505,-0.8035216404707526,0.2035940668647458,0.7831312136730214,,0.5641977669030277,,-0.0917729618535707,,-0.12560017164128312,-0.371242837326537,-0.3269584890127022
ABBN.S,Industrials,Capital Goods,Abb Ltd,-0.24612260695748095,-0.08143795241140331,-0.2133809660650314,-0.6333185350027812,-0.127472079874257,0.8400306366100022,-0.5343616863961872,0.17338135440598143,0.06894316474482129,-0.21882396990354894,0.6930369745340442,1.0806642621075269,0.7467326533288837,,0.9457995154792384,,0.07079167967757903,0.667699308950989,0.004977971992535332
AIR.PA,Industrials,Capital Goods,Airbus SE,-0.33603860914544637,0.443449754922432,,0.18990204700299,-0.0006779186672492541,-0.7936923813317837,-0.06581682653917487,-0.01224446440583534,0.46183324338255155,-0.0032713048413049715,-0.35149506251989676,,0.11318810084786048,,0.11672704861358933,,0.16816897174092033,0.4404013692945351,-0.47380131011765214
ATCOa.ST,Industrials,Capital Goods,Atlas Copco AB,-0.19102012315959557,-2.489752104342358,-0.14483144344438983,-0.8997127882879136,0.21460540786005275,1.6898867650021991,0.08891279835747509,-0.013333483905212704,0.13290572565383602,0.1108704830510786,0.6232498795548729,1.0227013953296002,0.3973496219382454,,-1.0132334898432667,,-1.379490129278603,-1.0349327820227472,-0.15498094637503843
WEIR.L,Industrials,Capital Goods,Weir Group PLC,0.32005696437129477,0.04342035838668713,-0.052661178254858276,-0.10356821102574179,0.038394474538555434,1.0669937617496619,-0.740690105797566,-0.18133242863182525,-0.4245900288702326,-0.24296800115597916,0.593537842150348,0.4817120424469628,-0.10719304625067584,,-0.9267960213677905,,-0.20880912225591708,0.17921025493193385,0.15109415984462352
SAND.ST,Industrials,Capital Goods,Sandvik AB,0.4043393032286944,0.27555272502083755,-0.03850495537983122,-0.033756598335305,0.4123379000923266,1.0749015085739082,0.8012319281850484,-0.20425818811336183,-0.3705532671174251,0.22294181337880964,0.49889417292424143,0.10445489144821746,-0.20515167713674898,,-0.007222669705727608,,-0.019392072311849497,0.595480595809723,-0.3305359908972947
